,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
93,1581854400000,9920.29000000,9983.14000000,9649.72000000,9928.33000000,62.02123500,1581897599999,608530.67456905,5442,37.94404900,372948.36385849,0
94,1581897600000,9916.64000000,9952.62000000,9573.33000000,9605.42000000,88.04723400,1581940799999,859999.32056872,11053,65.56917200,640606.38375854,0
95,1581940800000,9602.84000000,9724.57000000,9458.42000000,9708.77000000,39.31498500,1581983999999,377853.76913220,3312,22.63556600,217538.73608848,0
96,1581984000000,9698.24000000,9810.91000000,9638.04000000,9714.07000000,28.40684700,1582027199999,276421.05025513,1973,13.95273700,135615.74322621,0
97,1582027200000,9702.00000000,10249.17000000,9593.22000000,10158.14000000,71.19658100,1582070399999,707944.85633655,8153,43.87341900,434809.04040267,0
98,1582070400000,10167.94000000,10227.70000000,10025.88000000,10219.66000000,11.15452300,1582113599999,112857.46121943,977,5.57201000,56423.27942624,0
99,1582113600000,10239.22000000,10512.00000000,9400.00000000,9601.99000000,111.49722900,1582156799999,1097966.27386729,4474,51.28943100,507337.71385976,0
100,1582156800000,9588.19000000,9648.76000000,9506.83000000,9582.36000000,28.39659500,1582199999999,272274.81736028,1641,13.35193100,128082.86935351,0
101,1582200000000,9592.50000000,9686.42000000,9410.02000000,9608.23000000,31.08334200,1582243199999,297322.12228063,1616,14.23934800,136069.59334698,0
102,1582243200000,9587.23000000,9728.00000000,9571.64000000,9710.67000000,18.94578600,1582286399999,183101.62950439,1087,10.96198300,105955.09480088,0
103,1582286400000,9700.33000000,9761.24000000,9576.40000000,9670.00000000,23.71459700,1582329599999,229669.65800417,1533,12.67475600,122821.09609826,0
104,1582329600000,9675.78000000,9702.82000000,9558.25000000,9636.30000000,8.51056600,1582372799999,81910.93876937,499,4.45010800,42865.25992842,0
105,1582372800000,9637.13000000,9695.51000000,9612.17000000,9664.01000000,10.59447300,1582415999999,102244.70902505,441,5.14874200,49721.41970929,0
106,1582416000000,9656.40000000,10002.98000000,9656.40000000,9824.56000000,18.44543400,1582459199999,181648.08298710,737,12.65324800,124548.93316886,0
107,1582459200000,9817.97000000,9971.45000000,9816.01000000,9949.57000000,15.95292700,1582502399999,157834.12604177,873,8.45043300,83604.02311238,0
108,1582502400000,9945.64000000,9993.80000000,9584.00000000,9825.79000000,29.18647200,1582545599999,285997.27539337,871,14.63795500,143481.62685519,0
109,1582545600000,9815.80000000,9840.84000000,9487.44000000,9657.21000000,43.28476500,1582588799999,417026.29169161,1885,24.96916600,240577.14545101,0
110,1582588800000,9665.52000000,9668.50000000,9493.52000000,9638.47000000,24.46343600,1582631999999,234076.64511031,1160,15.38861800,147244.39174297,0
111,1582632000000,9647.55000000,9669.54000000,9256.66000000,9319.74000000,45.59216700,1582675199999,427787.02464641,1284,22.00954200,206544.41756765,0
112,1582675200000,9309.70000000,9372.65000000,9107.89000000,9163.20000000,46.05560300,1582718399999,422809.54721347,1343,23.29424800,214099.27195221,0
113,1582718400000,9177.64000000,9293.81000000,8653.00000000,8790.39000000,80.97039400,1582761599999,720466.02121509,2445,35.90777200,319734.33364143,0
114,1582761600000,8784.22000000,8850.07000000,8531.36000000,8811.42000000,37.56505300,1582804799999,327025.58556483,1214,19.85776500,172707.97873692,0
115,1582804800000,8807.51000000,8967.12000000,8681.46000000,8802.94000000,49.88209200,1582847999999,440681.38425685,1789,22.21467200,196001.11858206,0
116,1582848000000,8818.72000000,8900.32000000,8544.78000000,8577.27000000,42.87251300,1582891199999,373728.64480370,1024,23.15370000,201953.90575420,0
117,1582891200000,8590.69000000,8797.44000000,8451.67000000,8694.33000000,70.73053400,1582934399999,610380.22062801,999,35.34754400,305364.55422715,0
118,1582934400000,8698.05000000,8787.36000000,8613.56000000,8694.86000000,11.81457300,1582977599999,103106.42213658,542,7.40299900,64639.23413018,0
119,1582977600000,8694.73000000,8699.18000000,8524.44000000,8528.54000000,19.17481100,1583020799999,165484.15728196,639,10.62600200,91679.27846668,0
120,1583020800000,8523.66000000,8666.77000000,8518.19000000,8638.49000000,23.55840400,1583063999999,202203.50846121,470,13.28997700,114032.91543358,0
121,1583064000000,8657.47000000,8746.82000000,8428.70000000,8545.65000000,38.92239300,1583107199999,332716.34690368,633,22.51450500,192527.23081876,0
122,1583107200000,8525.48000000,8762.87000000,8502.03000000,8749.17000000,25.74384800,1583150399999,222523.83442074,661,12.04655600,104213.53795531,0
123,1583150400000,8763.77000000,8963.39000000,8723.69000000,8900.76000000,49.73808600,1583193599999,440772.68573671,1441,21.09974600,187026.88941149,0
124,1583193600000,8913.63000000,8919.44000000,8749.16000000,8850.18000000,28.83552300,1583236799999,254512.24869259,1016,13.33921000,117763.85398423,0
125,1583236800000,8866.74000000,8901.18000000,8660.53000000,8758.86000000,71.09785300,1583279999999,622466.10123460,1835,31.08735000,272116.17229895,0
126,1583280000000,8765.54000000,8844.36000000,8695.83000000,8723.09000000,33.69478900,1583323199999,296248.25647743,1361,18.17287300,159916.67242504,0
127,1583323200000,8720.81000000,8778.03000000,8672.76000000,8748.23000000,35.83764300,1583366399999,312916.79789564,1520,13.19365500,115122.87999730,0
128,1583366400000,8765.21000000,9113.52000000,8765.21000000,9098.16000000,52.01576900,1583409599999,463649.27085671,1431,25.97977300,231905.16171388,0
129,1583409600000,9100.34000000,9152.18000000,9021.12000000,9062.79000000,42.36762500,1583452799999,384958.81851946,2276,25.47270200,231453.36120546,0
130,1583452800000,9051.95000000,9170.84000000,8993.59000000,9140.57000000,26.19337700,1583495999999,237724.07598179,1276,12.81163200,116425.95836540,0
131,1583496000000,9134.90000000,9144.12000000,9011.63000000,9140.03000000,36.60326000,1583539199999,332359.65466986,1146,13.30589800,120922.31902641,0
132,1583539200000,9140.03000000,9146.11000000,9055.07000000,9096.11000000,24.13449900,1583582399999,219573.46057984,554,9.80616400,89210.21393469,0
133,1583582400000,9111.21000000,9199.13000000,8847.87000000,8886.71000000,53.54047900,1583625599999,482800.30280509,1222,14.11819800,126945.79081535,0
134,1583625600000,8885.47000000,8885.47000000,8678.87000000,8749.42000000,27.90144000,1583668799999,244745.42959755,718,11.82646500,103731.84295968,0
135,1583668800000,8718.44000000,8720.01000000,8003.84000000,8036.46000000,99.46390000,1583711999999,828641.38877344,1982,41.97597500,346666.36072937,0
136,1583712000000,8036.65000000,8175.98000000,7686.42000000,7784.16000000,167.48421400,1583755199999,1332481.60762359,2011,86.69769200,689785.89501610,0
137,1583755200000,7800.21000000,7939.79000000,7642.21000000,7939.79000000,137.46477300,1583798399999,1071588.36947401,1656,85.60005300,667599.53778813,0
138,1583798400000,7939.82000000,8104.25000000,7853.65000000,8065.80000000,41.07272200,1583841599999,327024.83158031,663,25.33589100,201596.56951757,0
139,1583841600000,8073.61000000,8140.35000000,7736.58000000,7888.99000000,105.61226500,1583884799999,838643.44782204,1221,59.88144600,475357.73383742,0
140,1583884800000,7880.00000000,7955.00000000,7763.80000000,7826.87000000,46.03139600,1583927999999,361187.77762692,591,24.79024000,194566.24391102,0
141,1583928000000,7822.80000000,7977.46000000,7597.21000000,7926.40000000,68.67062600,1583971199999,533444.19264365,1088,39.33716100,305388.27316168,0
142,1583971200000,7950.14000000,7956.40000000,5611.19000000,6067.98000000,862.69577500,1584014399999,5521407.21634663,5594,449.25061800,2882416.17521169,0
143,1584014400000,6069.00000000,6297.62000000,4510.00000000,4824.58000000,1215.74775800,1584057599999,6851117.67216650,8472,697.45303000,3936479.48430121,0
144,1584057600000,4814.78000000,5687.93000000,3649.04000000,5409.51000000,2139.38903600,1584100799999,10465882.21029784,14213,1322.81172600,6450372.47150198,0
145,1584100800000,5402.04000000,5948.50000000,4823.79000000,5582.50000000,263.24407800,1584143999999,1425938.77772467,2981,155.59475500,844871.58881868,0
146,1584144000000,5583.79000000,5626.00000000,5203.46000000,5450.17000000,82.52141800,1584187199999,449356.06405815,867,57.15772700,312065.26370750,0
147,1584187200000,5406.20000000,5487.58000000,5053.25000000,5169.45000000,101.35722500,1584230399999,537769.04622172,854,63.77435900,339778.71095557,0
148,1584230400000,5172.68000000,5489.97000000,5101.05000000,5429.43000000,40.70783300,1584273599999,215474.43544877,337,22.43340600,119418.29778733,0
149,1584273600000,5444.07000000,5943.59000000,5177.46000000,5365.04000000,265.62693900,1584316799999,1468965.68175906,1410,148.81818500,822743.88347436,0
